question_id,source,reason
emb-structs-0007,03_Structs_Unions_Bitfields_anki_cards.txt:12,possible duplicate of an existing question
emb-structs-0014,03_Structs_Unions_Bitfields_anki_cards.txt:19,possible duplicate of an existing question
emb-volconst-0013,04_Volatile_Const_anki_cards.txt:18,possible duplicate of an existing question
emb-volconst-0020,04_Volatile_Const_anki_cards.txt:25,possible duplicate of an existing question
emb-volconst-0022,04_Volatile_Const_anki_cards.txt:27,possible duplicate of an existing question
emb-volconst-0023,04_Volatile_Const_anki_cards.txt:28,possible duplicate of an existing question
emb-volconst-0026,04_Volatile_Const_anki_cards.txt:31,possible duplicate of an existing question
emb-fnptr-0002,05_Function_Pointers_Callbacks_anki_cards.txt:7,possible duplicate of an existing question
emb-align-0011,07_Memory_Alignment_Endianness_anki_cards.txt:16,possible duplicate of an existing question
emb-patterns-0038,08_Common_Code_Patterns_anki_cards.txt:43,possible duplicate of an existing question
emb-raii-0033,10_RAII_Smart_Pointers_anki_cards.txt:38,possible duplicate of an existing question
