en_term,uk_render,note
event loop,event loop,лишається англійською; «цикл подій» не вживається в проєкті
GIL,GIL,абревіатура без розкриття й без транслітерації
move semantics,move semantics,лишається англійською
control block,control block,термін shared_ptr; лишається англійською
undefined behaviour,undefined behaviour,британське написання; не «невизначена поведінка»
round trip,round trip,лишається англійською
reflog,reflog,назва механізму git; не перекладається і не відмінюється
at-least-once,at-least-once,назва гарантії доставки; лишається англійською
lazy loading,lazy loading,лишається англійською; «ліниве завантаження» не вживається
retry storm,retry storm,лишається англійською
inheritance,успадкування,завжди цей варіант
